Year,Month, Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar 
2005,Jun,5248,161399,53485,26305,30260,16788,3361
2005,Jul,3738,192448,44301,25811,31991,22286,3628
2005,Aug,3220,134727,45880,27093,29772,17920,2903
2005,Sep,3983,136276,43998,27510,28915,10764,2666
2005,Oct,3202,141565,46161,31553,37085,9729,2956
2005,Nov,3614,173305,61060,28458,24961,10155,3095
2005,Dec,6863,187847,60523,27934,29744,11837,3814
2006,Jan,3010,152123,42836,23133,24544,9588,3153
2006,Feb,3177,122336,44419,25592,26200,10794,2658
2006,Mar,4075,141056,52980,31939,32483,11863,3615
2006,Apr,3457,147235,51480,37713,37862,12993,4699
2006,May,2955,146039,49755,39995,30587,11755,3678
2006,Jun,4859,167216,56325,29790,28946,17513,3547
2006,Jul,3822,192166,48104,30567,29003,20816,4643
2006,Aug,3389,164474,51108,29722,27775,17916,3977
2006,Sep,3511,136514,46751,29747,26498,12514,3568
2006,Oct,2950,210355,61466,36293,35860,12537,4008
2006,Nov,3782,137074,56439,35718,26895,12867,4125
2006,Dec,6344,205629,72640,35910,29714,13949,4987
